asin,itemName,sku,is_fba,kitFlag,channel_name,quantity
B00HRBPLGI,AG-KC1541-MUSGT,AG-KC1541-MUSGT-FBA,TRUE,FALSE,Amazon US,4
B00AB0S4MU,AG-KC1340-JEEG-RED,AG-KC1340-JEEG-RED,FALSE,FALSE,Amazon US,5
B00AB0S4MU,AG-KC1340-JEEG-RED,AG-KC1340-JEEG-RED-FBA,TRUE,FALSE,Amazon US,5
B00BOV3PYW,AG-KC1340-COV5-BLK,AG-KC1340-COV5-BLK,FALSE,FALSE,Amazon US,0
B00BOV3PYW,AG-KC1340-COV5-BLK,AG-KC1340-COV5-BLK-FBA,TRUE,FALSE,Amazon US,0
B00BOV5DTC,AG-KC1340-COV5-BLU,AG-KC1340-COV5-BLU,FALSE,FALSE,Amazon US,0
B00BOV5DTC,AG-KC1340-COV5-BLU,AG-KC1340-COV5-BLU-FBA,TRUE,FALSE,Amazon US,0
B00BHMLCDO,AG-KC1340-CMRSS-ORA,AG-KC1340-CMRSS-ORA,FALSE,FALSE,Amazon US,0
B00BHMLCDO,AG-KC1340-CMRSS-ORA,AG-KC1340-CMRSS-ORA-FBA,TRUE,FALSE,Amazon US,0
B00BOV2Q6A,AG-KC1340-CMRSS-RED,AG-KC1340-CMRSS-RED,FALSE,FALSE,Amazon US,0
B00BOV2Q6A,AG-KC1340-CMRSS-RED,AG-KC1340-CMRSS-RED-FBA,TRUE,FALSE,Amazon US,0
B00BOV1KMQ,AG-KC1340-CMRSS-BLK,AG-KC1340-CMRSS-BLK,FALSE,FALSE,Amazon US,0
B00BOV1KMQ,AG-KC1340-CMRSS-BLK,AG-KC1340-CMRSS-BLK-FBA,TRUE,FALSE,Amazon US,0
B00BOV2200,AG-KC1340-CMRSS-BLU,AG-KC1340-CMRSS-BLU,FALSE,FALSE,Amazon US,0
B00BOV2200,AG-KC1340-CMRSS-BLU,AG-KC1340-CMRSS-BLU-FBA,TRUE,FALSE,Amazon US,0
B00BHMJI0S,AG-KC1340-CMRRS-ORA,AG-KC1340-CMRRS-ORA,FALSE,FALSE,Amazon US,0
B00BHMJI0S,AG-KC1340-CMRRS-ORA,AG-KC1340-CMRRS-ORA-FBA,TRUE,FALSE,Amazon US,0
B00HRCCLDI,AG-KC1340-CMRRS-RED,AG-KC1340-CMRRS-RED,FALSE,FALSE,Amazon US,0
B00HRCCLDI,AG-KC1340-CMRRS-RED,AG-KC1340-CMRRS-RED-FBA,TRUE,FALSE,Amazon US,0
B00C2AC5IG,AG-KC1340-CRV-BLK,AG-KC1340-CRV-BLK,FALSE,FALSE,Amazon US,2
B00C2AC5IG,AG-KC1340-CRV-BLK,AG-KC1340-CRV-BLK-FBA,TRUE,FALSE,Amazon US,2
B00C2ADAFS,AG-KC1340-CRV-BLU,AG-KC1340-CRV-BLU,FALSE,FALSE,Amazon US,6
B00C2ADAFS,AG-KC1340-CRV-BLU,AG-KC1340-CRV-BLU-FBA,TRUE,FALSE,Amazon US,6
B00BOV9PU0,AG-KC1340-COV6-ORA,AG-KC1340-COV6-ORA,FALSE,FALSE,Amazon US,0
B00BOV9PU0,AG-KC1340-COV6-ORA,AG-KC1340-COV6-ORA-FBA,TRUE,FALSE,Amazon US,0
B00BOVCBRY,AG-KC1340-COV6-RED,AG-KC1340-COV6-RED,FALSE,FALSE,Amazon US,0
B00BOVCBRY,AG-KC1340-COV6-RED,AG-KC1340-COV6-RED-FBA,TRUE,FALSE,Amazon US,0
B00BOV7E0I,AG-KC1340-COV6-BLK,AG-KC1340-COV6-BLK,FALSE,FALSE,Amazon US,0
B00BOV7E0I,AG-KC1340-COV6-BLK,AG-KC1340-COV6-BLK-FBA,TRUE,FALSE,Amazon US,0
B00BOV85W4,AG-KC1340-COV6-BLU,AG-KC1340-COV6-BLU,FALSE,FALSE,Amazon US,0
B00BOV85W4,AG-KC1340-COV6-BLU,AG-KC1340-COV6-BLU-FBA,TRUE,FALSE,Amazon US,0
B00BHMMT40,AG-KC1340-COV5-ORA,AG-KC1340-COV5-ORA,FALSE,FALSE,Amazon US,0
B00BHMMT40,AG-KC1340-COV5-ORA,AG-KC1340-COV5-ORA-FBA,TRUE,FALSE,Amazon US,0
B00BOV6BES,AG-KC1340-COV5-RED,AG-KC1340-COV5-RED,FALSE,FALSE,Amazon US,0
B00BOV6BES,AG-KC1340-COV5-RED,AG-KC1340-COV5-RED-FBA,TRUE,FALSE,Amazon US,0
B00BOWHL00,AG-KC1340-F15-BLU,AG-KC1340-F15-BLU,FALSE,FALSE,Amazon US,1
B00BOWHL00,AG-KC1340-F15-BLU,AG-KC1340-F15-BLU-FBA,TRUE,FALSE,Amazon US,1
B00BOVD75O,AG-KC1340-F15-BLK,AG-KC1340-F15-BLK,FALSE,FALSE,Amazon US,0
B00BOVD75O,AG-KC1340-F15-BLK,AG-KC1340-F15-BLK-FBA,TRUE,FALSE,Amazon US,0
B00FBNDWRO,AG-KC1340-DODS-RED,AG-KC1340-DODS-RED,FALSE,FALSE,Amazon US,4
B00FBNDWRO,AG-KC1340-DODS-RED,AG-KC1340-DODS-RED-FBA,TRUE,FALSE,Amazon US,4
B00BHMP9YC,AG-KC1340-DODS-ORA,AG-KC1340-DODS-ORA,FALSE,FALSE,Amazon US,7
B00BHMP9YC,AG-KC1340-DODS-ORA,AG-KC1340-DODS-ORA-FBA,TRUE,FALSE,Amazon US,7
B00C2AGGXG,AG-KC1340-DODS-BLU,AG-KC1340-DODS-BLU,FALSE,FALSE,Amazon US,11
B00C2AGGXG,AG-KC1340-DODS-BLU,AG-KC1340-DODS-BLU-FBA,TRUE,FALSE,Amazon US,11
B00HRCETP6,AG-KC1340-DODS-BLK,AG-KC1340-DODS-BLK,FALSE,FALSE,Amazon US,5
B00HRCETP6,AG-KC1340-DODS-BLK,AG-KC1340-DODS-BLK-FBA,TRUE,FALSE,Amazon US,5
B00C2AE9G2,AG-KC1340-CRV-RED,AG-KC1340-CRV-RED,FALSE,FALSE,Amazon US,3
B00C2AE9G2,AG-KC1340-CRV-RED,AG-KC1340-CRV-RED-FBA,TRUE,FALSE,Amazon US,3
B00BHMO6P0,AG-KC1340-CRV-ORA,AG-KC1340-CRV-ORA,FALSE,FALSE,Amazon US,4
B00BHMO6P0,AG-KC1340-CRV-ORA,AG-KC1340-CRV-ORA-FBA,TRUE,FALSE,Amazon US,4
B00BOWLX9U,AG-KC1340-FOR-RED,AG-KC1340-FOR-RED,FALSE,FALSE,Amazon US,4
B00BOWLX9U,AG-KC1340-FOR-RED,AG-KC1340-FOR-RED-FBA,TRUE,FALSE,Amazon US,4
B00PHFEEFA,AG-KC1340-FOR-PUR,AG-KC1340-FOR-PUR,FALSE,FALSE,Amazon US,4
B00PHFEEFA,AG-KC1340-FOR-PUR,AG-KC1340-FOR-PUR-FBA,TRUE,FALSE,Amazon US,4
B00172I5SO,AG-KC1541-H3,AG-KC1541-H3,FALSE,FALSE,Amazon US,0
B00172I5SO,AG-KC1541-H3,AG-KC1541-H3-FBA,TRUE,FALSE,Amazon US,0
B00BI0NI8C,AG-KC1340-FOR-ORA,AG-KC1340-FOR-ORA,FALSE,FALSE,Amazon US,4
B00BI0NI8C,AG-KC1340-FOR-ORA,AG-KC1340-FOR-ORA-FBA,TRUE,FALSE,Amazon US,4
B00BOWLDM2,AG-KC1340-FOR-BLU,AG-KC1340-FOR-BLU,FALSE,FALSE,Amazon US,1
B00BOWLDM2,AG-KC1340-FOR-BLU,AG-KC1340-FOR-BLU-FBA,TRUE,FALSE,Amazon US,1
B00BOWKNC8,AG-KC1340-FOR-BLK,AG-KC1340-FOR-BLK,FALSE,FALSE,Amazon US,5
B00BOWKNC8,AG-KC1340-FOR-BLK,AG-KC1340-FOR-BLK-FBA,TRUE,FALSE,Amazon US,5
B00BOWJ3GK,AG-KC1340-F15-RED,AG-KC1340-F15-RED,FALSE,FALSE,Amazon US,4
B00BOWJ3GK,AG-KC1340-F15-RED,AG-KC1340-F15-RED-FBA,TRUE,FALSE,Amazon US,4
B00BI0MYIW,AG-KC1340-F15-ORA,AG-KC1340-F15-ORA,FALSE,FALSE,Amazon US,6
B00BI0MYIW,AG-KC1340-F15-ORA,AG-KC1340-F15-ORA-FBA,TRUE,FALSE,Amazon US,6
B00BOUVG62,AG-KC1340-CHV-RED,AG-KC1340-CHV-RED,FALSE,FALSE,Amazon US,0
