asin,itemName,sku,is_fba,kitFlag,channel_name,quantity
B003IRCL9K,AG-KCB-HON,AG-KCB-HON-FBA,TRUE,FALSE,Amazon US,17
B00T6IG5TW,AG-KC9120-SUZ,AG-KC9120-SUZ,FALSE,FALSE,Amazon US,1
B005SIKDMY,AG-KC9120-SUZ,AG-KC9120-SUZ-FBA,TRUE,FALSE,Amazon US,1
B00652LOSO,AG-KC9120-TSX,AG-KC9120-TSX,FALSE,FALSE,Amazon US,7
B00652LOSO,AG-KC9120-TSX,AG-KC9120-TSX-FBA,TRUE,FALSE,Amazon US,7
B005PBWWOQ,AG-KC9120-WRA,AG-KC9120-WRA,FALSE,FALSE,Amazon US,0
B005PBWWOQ,AG-KC9120-WRA,AG-KC9120-WRA-FBA,TRUE,FALSE,Amazon US,0
B007JL6S4U,AG-KC9120-SIL,AG-KC9120-SIL,FALSE,FALSE,Amazon US,0
B007JL6S4U,AG-KC9120-SIL,AG-KC9120-SIL-FBA,TRUE,FALSE,Amazon US,0
B00QCMLUYU,AG-KCK-BFT,AG-KCK-BFT,FALSE,FALSE,Amazon US,6
B00QCMLUYU,AG-KCK-BFT,AG-KCK-BFT-FBA,TRUE,FALSE,Amazon US,6
B07494LHB6,AG-KCK-ATL,AG-KCK-ATL-FBA,TRUE,FALSE,Amazon US,3
B07494LHB6,AG-KCK-ATL,AG-KCK-ATL,FALSE,FALSE,Amazon US,3
B003TM7GKS,AG-KCK-ARM,AG-KCK-ARM,FALSE,FALSE,Amazon US,1
B003TM7GKS,AG-KCK-ARM,AG-KCK-ARM-FBA,TRUE,FALSE,Amazon US,1
B004Z9WMAI,AG-KCK-ARL,AG-KCK-ARL,FALSE,FALSE,Amazon US,3
B004Z9WMAI,AG-KCK-ARL,AG-KCK-ARL-FBA,TRUE,FALSE,Amazon US,3
B003BG6JU0,AG-KCK-ALT,AG-KCK-ALT,FALSE,FALSE,Amazon US,0
B003BG6JU0,AG-KCK-ALT,AG-KCK-ALT-FBA,TRUE,FALSE,Amazon US,0
B003BG4PUQ,AG-KCK-ACU,AG-KCKACU-FBA,FALSE,FALSE,Amazon US,3
B003BG4PUQ,AG-KCK-ACU,AG-KCK-ACU,FALSE,FALSE,Amazon US,3
B003BG4PUQ,AG-KCK-ACU,AG-KCK-ACU-FBA,TRUE,FALSE,Amazon US,3
B003MRMPZQ,AG-KCK-ACC,AG-KCK-ACC,FALSE,FALSE,Amazon US,3
B003MRMPZQ,AG-KCK-ACC,AG-KCK-ACC-FBA,TRUE,FALSE,Amazon US,3
B00ADANV5S,AG-KCK-ACC,AGKCKACC,FALSE,FALSE,Amazon US,3
B00332GUFG,AG-KCK-350,AG-KCK-350,FALSE,FALSE,Amazon US,1
B00332GUFG,AG-KCK-350,AG-KCK-350-AMZ,FALSE,FALSE,Amazon US,1
B00332GUFG,AG-KCK-350,AG-KCK-350-FBA,TRUE,FALSE,Amazon US,1
B00BN44QI4,AG-KCK-300,AG-KCK-300,FALSE,FALSE,Amazon US,2
B00BN44QI4,AG-KCK-300,AG-KCK-300-FBA,TRUE,FALSE,Amazon US,2
B004YKZ020,AG-KCK-200,CBS-KCK-200,FALSE,FALSE,Amazon US,3
B004YKZ020,AG-KCK-200,AG-KCK-200,FALSE,FALSE,Amazon US,3
B004YKZ020,AG-KCK-200,AG-KCK-200-FBA,TRUE,FALSE,Amazon US,3
B0019IJDQY,AG-KCG-LIN,AG-KCG-LIN,FALSE,FALSE,Amazon US,0
B0019IJDQY,AG-KCG-LIN,AG-KCG-LIN-FBA,TRUE,FALSE,Amazon US,0
B00RN7SAKK,AG-KCC-SRT8,AG-KCC-SRT8-FBA,TRUE,FALSE,Amazon US,7
B00RN7SAKK,AG-KCC-SRT8,AG-KCC-SRT8,FALSE,FALSE,Amazon US,7
B00BN44H4M,AG-KCC-RAM,CBS-KCC-RAM,FALSE,FALSE,Amazon US,6
B00PJ2ZTKU,AG-KCC-RAM,AG-KCC-RAM-FBA,TRUE,FALSE,Amazon US,6
B00PJ2ZTKU,AG-KCC-RAM,AG-KCC-RAM,FALSE,FALSE,Amazon US,6
B00L0PIP60,AG-KCC-RAMH,AG-KCC-RAMH-FBA,TRUE,FALSE,Amazon US,0
B00L0PIP60,AG-KCC-RAMH,AG-KCC-RAMH,FALSE,FALSE,Amazon US,0
B00BN44FTE,AG-KCC-MAZ,CBS-KCC-MAZ,FALSE,FALSE,Amazon US,0
B00PJ2CZMA,AG-KCC-MAZ,AG-KCC-MAZ-FBA,TRUE,FALSE,Amazon US,0
B00PJ2CZMA,AG-KCC-MAZ,AG-KCC-MAZ,FALSE,FALSE,Amazon US,0
B00BN44F5I,AG-KCC-JEE,CBS-KCC-JEE,FALSE,FALSE,Amazon US,3
B00L0PIHT0,AG-KCC-JEE,AG-KCC-JEE,FALSE,FALSE,Amazon US,3
B00L0PIHT0,AG-KCC-JEE,AG-KCC-JEE-FBA,TRUE,FALSE,Amazon US,3
B00OM1GLAG,AG-KCC-JEEG,AG-KCC-JEEG,FALSE,FALSE,Amazon US,4
B00OM1GLAG,AG-KCC-JEEG,AG-KCC-JEEG-FBA,TRUE,FALSE,Amazon US,4
B00BN4DU4A,AG-KCC-HON,CBS-KCC-HON-FBA,TRUE,FALSE,Amazon US,0
B004QJL5LY,AG-KCC-HON,AG-KCC-HON,FALSE,FALSE,Amazon US,0
B00BN4DU4A,AG-KCC-HON,CBS-KCC-HON,FALSE,FALSE,Amazon US,0
B00L0PIWRW,AG-KCC-INF,AG-KCC-INF-FBA,TRUE,FALSE,Amazon US,0
B00L0PIWRW,AG-KCC-INF,AG-KCC-INF,FALSE,FALSE,Amazon US,0
B00BN44DE6,AG-KCC-F15,CBS-KCC-F15,FALSE,FALSE,Amazon US,1
B00BN44DE6,AG-KCC-F15,CBS-KCC-F15-FBA,TRUE,FALSE,Amazon US,1
B00OM1EQ4O,AG-KCC-F15,AG-KCC-F15,FALSE,FALSE,Amazon US,1
B00OM1EQ4O,AG-KCC-F15,AG-KCC-F15-FBA,TRUE,FALSE,Amazon US,1
B00L0PIFGU,AG-KCC-FOR,AG-KCC-FOR-FBA,TRUE,FALSE,Amazon US,1
B00L0PIFGU,AG-KCC-FOR,AG-KCC-FOR,FALSE,FALSE,Amazon US,1
B00BN44WFG,AG-KCK-COB,CBS-KCK-COB,FALSE,FALSE,Amazon US,4
B005WJTGV8,AG-KCK-COB,AG-KCK-COB,FALSE,FALSE,Amazon US,4
B005WJTGV8,AG-KCK-COB,AG-KCK-COB-FBA,TRUE,FALSE,Amazon US,4
B004UGO68M,AG-KCK-ODY,AG-KCK-ODY,FALSE,FALSE,Amazon US,5
B004UGO68M,AG-KCK-ODY,AG-KCK-ODY-FBA,TRUE,FALSE,Amazon US,5
B00BN45IEK,AG-KCK-NSX,CBS-KCK-NSX,FALSE,FALSE,Amazon US,0
B0050BY7K8,AG-KCK-NSX,AG-KCK-NSX,FALSE,FALSE,Amazon US,0
B0050BY7K8,AG-KCK-NSX,AG-KCK-NSX-FBA,TRUE,FALSE,Amazon US,0
B003NTN55M,AG-KCK-NIT,AG-KCK-NIT,FALSE,FALSE,Amazon US,3
B003NTN55M,AG-KCK-NIT,AG-KCK-NIT-FBA,TRUE,FALSE,Amazon US,3
B00BN44U5S,AG-KCK-CMP,CBS-KCK-CMP,FALSE,FALSE,Amazon US,4
B007P4IXF8,AG-KCK-CMP,AG-KCK-CMP,FALSE,FALSE,Amazon US,4
B007P4IXF8,AG-KCK-CMP,AG-KCK-CMP-FBA,TRUE,FALSE,Amazon US,4
B0079L63QI,AG-KCK-CIVC,AG-KCK-CIVC,FALSE,FALSE,Amazon US,4
B0079L63QI,AG-KCK-CIVC,AG-KCK-CIVC-FBA,TRUE,FALSE,Amazon US,4
B00A93TCLQ,AG-KCK-CHR,CBS-KCK-CHR,FALSE,FALSE,Amazon US,3
B00367HYB2,AG-KCK-CHR,AG-KCK-CHR,FALSE,FALSE,Amazon US,3
